demand,phase,variant,before,after,facility,delta,relative,se,upper95,lower95,seven_day_extra_income,facility_price,seven_day_net
flat,0,baseline,3,19,12005,5024.935416666666,2.7755716634886807,58.76431740050263,5140.113478771651,4909.7573545616815,281396.3833333333,176000,105396.3833333333
flat,0,baseline,3,35,12006,9024.097916666668,4.984547738259768,99.98783610215882,9220.074075426899,8828.121757906436,505349.4833333334,198000,307349.4833333334
flat,0,baseline,4,5,12001,-168.97083333333333,-0.06508656836192196,8.569609859765835,-152.1743980081923,-185.76726865847436,-9462.366666666667,18000,-27462.36666666667
flat,0,baseline,4,6,12002,149.20833333333334,0.057474169926773,9.837999212815358,168.49081179045146,129.92585487621523,8355.666666666668,39000,-30644.333333333332
flat,0,baseline,4,12,12004,1163.2895833333334,0.4480922860868693,18.032563912485138,1198.6334086018044,1127.9457580648625,65144.216666666674,42000,23144.216666666674
flat,0,baseline,4,20,12005,5337.322916666667,2.055905306449995,57.37757742434973,5449.782968418393,5224.862864914941,298890.0833333334,176000,122890.08333333337
flat,0,baseline,4,36,12006,9826.160416666668,3.7849790350085266,96.71072548499609,10015.71343861726,9636.607394716075,550264.9833333334,198000,352264.9833333334
flat,0,baseline,5,7,12002,128.25208333333333,0.05284119829805351,8.55377850510536,145.01748920333984,111.48667746332683,7182.116666666667,39000,-31817.88333333333
flat,0,baseline,5,13,12004,953.6791666666667,0.3929257806095866,17.39354789649247,987.7705205437919,919.5878127895414,53406.03333333333,42000,11406.033333333333
flat,0,baseline,5,21,12005,4602.577083333334,1.8963098455905012,57.40279915350039,4715.086569674194,4490.067596992473,257744.31666666668,176000,81744.31666666668
flat,0,baseline,5,37,12006,8387.583333333334,3.45577196595077,96.67993402594313,8577.076004024182,8198.090662642486,469704.6666666667,198000,271704.6666666667
flat,0,baseline,6,7,12001,-189.92708333333334,-0.0691825808483432,7.306529075752755,-175.60628634485795,-204.24788032180874,-10635.916666666668,18000,-28635.916666666668
flat,0,baseline,6,14,12004,821.0583333333333,0.2990775908844276,15.912309157587709,852.2464592822051,789.8702073844614,45979.26666666666,42000,3979.266666666663
flat,0,baseline,6,22,12005,4190.010416666667,1.5262474909789072,55.07044551453013,4297.948489875146,4082.072343458188,234640.58333333334,176000,58640.58333333334
flat,0,baseline,6,38,12006,7612.8375,2.7730418252393294,93.75437207887246,7796.596069274589,7429.07893072541,426318.89999999997,198000,228318.89999999997
flat,0,baseline,7,15,12004,722.3208333333333,0.2826672536646611,15.53733391994527,752.7740078164261,691.8676588502406,40449.96666666667,42000,-1550.0333333333328
flat,0,baseline,7,23,12005,3760.1604166666666,1.4714710821960246,54.71609984005022,3867.403972353165,3652.916860980168,210568.98333333334,176000,34568.98333333334
flat,0,baseline,7,39,12006,6720.070833333333,2.629778734367102,93.83081471068655,6903.979230166279,6536.162436500387,376323.9666666667,198000,178323.96666666667
flat,0,baseline,8,9,12001,-253.88333333333333,-0.07980652170638634,15.659788136906384,-223.19014858499682,-284.57651808166986,-14217.466666666667,18000,-32217.466666666667
flat,0,baseline,8,10,12002,66.21666666666667,0.020814764704225885,17.20919791175949,99.94669457371526,32.486638759618074,3708.133333333333,39000,-35291.86666666667
flat,0,baseline,8,12,12003,578.1479166666667,0.18173691693413133,18.54126663352619,614.488799268378,541.8070340649554,32376.283333333333,46000,-13623.716666666667
flat,0,baseline,8,24,12005,5850.754166666667,1.8391453006005922,56.74887525326966,5961.981962163075,5739.526371170258,327642.23333333334,176000,151642.23333333334
flat,0,baseline,8,40,12006,10873.7375,3.418086395942876,96.67569293682976,11063.221858156186,10684.253141843812,608929.2999999999,198000,410929.29999999993
